Alcohol,Alcohol_12months,Alcohol_ever,Marijuana,Marijuana_30days,Marijuana_12months,Marijuana_ever,Heroin,Heroin_30days,Heroin_12months,Heroin_ever,Cocaine,Cocaine_30days,Cocaine_12months,Cocaine_ever,Age,Sex,Race,State,time_of_use,drug_type,num_drugs,Age_group
2,2,1,0,2,2,1,0,0,0,2,0,2,2,1,51,Male, White (NH),GA,More than a year ago,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,45-54
2,0,1,1,1,1,1,0,0,0,2,0,0,0,2,29,Male, White (NH),SC,Time of Arrest,"('Marijuana',)",Marijuana,25-34
2,0,1,2,2,2,1,0,0,0,2,2,1,1,1,43,Female, White (NH),IN,Past 30 days,"('Cocaine',)",Cocaine,35-44
1,1,1,2,1,1,1,2,2,2,1,2,2,2,1,45,Male, White (NH),CA,Time of Arrest,"('Alcohol',)",Alcohol,45-54
2,1,1,0,1,1,1,0,0,0,2,0,0,0,2,31,Female, Black (NH),OH,Past 30 days,"('Marijuana',)",Marijuana,25-34
2,0,1,0,2,2,1,0,0,0,2,0,2,2,1,42,Male, White (NH),GA,More than a year ago,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,35-44
1,2,1,1,1,1,1,0,0,0,2,0,0,0,2,20,Male, Black (NH),OH,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,18-24
2,1,1,0,1,1,1,0,2,2,1,0,1,1,1,28,Male, Black (NH),CA,Past 30 days,"('Marijuana', 'Cocaine')",More than one drugs,25-34
2,0,1,2,2,2,1,0,0,0,2,2,2,2,1,24,Female, Hispanic,NM,More than a year ago,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,18-24
2,2,1,0,1,1,1,0,0,0,2,0,0,0,2,39,Female, Black (NH),NC,Past 30 days,"('Marijuana',)",Marijuana,35-44
2,1,1,2,2,1,1,2,2,2,1,2,1,2,1,29,Female, Hispanic,TX,Past 30 days,"('Cocaine',)",Cocaine,25-34
2,0,1,0,2,0,1,0,0,0,2,0,0,0,2,36,Male, White (NH),FL,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,35-44
2,0,1,2,1,2,1,1,1,2,1,1,1,2,1,28,Male, White (NH),FL,Time of Arrest,"('Heroin', 'Cocaine')",More than one drugs,25-34
