Alcohol,Marijuana,Heroin,Cocaine,Age,Sex,Race,State,Highest_Year_Education_Before_Prison
2,0,0,0,51,Male, White (NH),GA,12
2,1,0,0,29,Male, White (NH),SC,8
2,2,0,2,43,Female, White (NH),IN,15
1,2,2,2,45,Male, White (NH),CA,10
2,0,0,0,31,Female, Black (NH),OH,13
2,0,0,0,42,Male, White (NH),GA,13
1,1,0,0,20,Male, Black (NH),OH,11
2,0,0,0,28,Male, Black (NH),CA,11
2,2,0,2,24,Female, Hispanic,NM,12
2,0,0,0,39,Female, Black (NH),NC,16
2,2,2,2,29,Female, Hispanic,TX,11
2,0,0,0,36,Male, White (NH),FL,13
2,2,1,1,28,Male, White (NH),FL,14
2,2,2,2,32,Male, Hispanic,WA,8
1,0,0,0,53,Male, White (NH),AK,9
1,0,0,0,51,Female, Hispanic,OK,13
2,0,0,0,47,Male, Black (NH),TX,11
0,2,0,0,26,Male, Black (NH),TX,6
2,2,1,0,18,Male, White (NH),MO,7
2,1,0,0,24,Male, Black (NH),TX,10
2,1,0,0,21,Male, 2+ Races (NH),IL,10
0,0,0,0,53,Male, Black (NH),MS,13
1,0,0,0,24,Male, White (NH),IL,15
1,1,0,2,49,Male, White (NH),MO,10
1,0,0,0,48,Male, American Indian/Alaska Native (NH),SD,10
1,1,0,1,31,Female, Hispanic,CA,14
2,2,0,2,38,Female, Hispanic,NV,10
1,2,2,2,34,Male, White (NH),MO,5
2,0,0,0,38,Male, Hispanic,CA,10
2,0,0,0,38,Female, White (NH),FL,10
2,0,0,0,28,Female, 2+ Races (NH),KS,13
1,1,0,0,28,Male, Black (NH),AR,9
2,2,0,0,40,Male, White (NH),TX,14
1,1,2,2,41,Male, White (NH),VT,12
2,2,0,2,40,Female, White (NH),NC,8
0,0,0,0,46,Male, Hispanic,IL,11
2,2,0,2,47,Male, American Indian/Alaska Native (NH),CA,9
2,0,0,0,54,Male, White (NH),TX,13
2,0,0,0,33,Male, 2+ Races (NH),OR,14
2,0,0,0,28,Male, White (NH),FL,8
1,0,0,0,23,Male, White (NH),MO,12
1,0,0,0,26,Female, Hispanic,TX,10
2,0,0,0,70,Male, White (NH),FL,16
2,0,0,0,38,Female, 2+ Races (NH),TX,9
0,0,0,0,47,Female, Black (NH),MI,12
0,0,0,0,43,Male, Black (NH),-1,14
2,0,0,0,36,Male, Uncategorized - Missing,TX,10
2,2,0,2,39,Male, White (NH),OR,12
1,1,0,2,20,Male, White (NH),MA,12
2,0,0,0,68,Male, Black (NH),NY,9
2,0,0,0,37,Male, Hispanic,TX,8
2,0,0,0,31,Male, Black (NH),MO,8
2,0,0,0,48,Male, White (NH),MS,10
2,0,0,0,46,Male, White (NH),NC,12
1,1,0,2,21,Female, White (NH),NE,12
2,0,0,0,66,Male, Hispanic,TX,11
1,2,0,2,37,Female, White (NH),MS,15
2,2,2,2,32,Male, 2+ Races (NH),OH,8
0,0,0,0,48,Male, 2+ Races (NH),MI,8
1,1,0,0,41,Male, Black (NH),IL,12
0,0,0,0,33,Male, Hispanic,CA,6
1,1,0,0,36,Male, Black (NH),IL,10
2,0,0,0,42,Male, Hispanic,NY,18
2,0,0,0,28,Female, Hispanic,CA,17
0,0,0,0,24,Male, Black (NH),MI,11
2,0,0,0,29,Male, White (NH),FL,9
2,0,0,0,40,Female, Hispanic,WA,16
2,1,0,0,25,Male, Black (NH),CA,11
1,0,0,0,36,Male, Hispanic,TX,9
2,0,0,0,25,Male, Black (NH),NC,8
0,0,0,0,44,Male, Hispanic,TX,6
2,0,0,0,50,Male, Hispanic,TX,10
0,1,0,0,33,Male, Black (NH),TX,8
0,0,0,0,49,Female, 2+ Races (NH),TN,10
2,0,0,0,25,Male, Hispanic,-1,13
1,0,0,0,47,Male, White (NH),NY,9
1,0,0,0,41,Male, Black (NH),VA,9
1,1,0,1,26,Male, American Indian/Alaska Native (NH),IL,10
2,0,0,0,53,Male, White (NH),PA,9
2,0,0,0,44,Male, Hispanic,CA,9
2,2,0,0,32,Female, Hispanic,CT,12
2,0,0,0,27,Female, White (NH),IN,11
2,0,0,0,24,Male, Hispanic,TX,10
0,0,0,0,30,Female, Black (NH),TX,12
2,0,0,0,44,Male, White (NH),MO,11
2,1,0,2,26,Male, Hispanic,FL,12
1,1,0,2,34,Male, Black (NH),AL,10
2,0,0,0,51,Male, Hispanic,NM,10
2,0,0,0,40,Male, Black (NH),MO,10
